====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5400 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 62 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1355.00E-09  2348.09E-09  
800000.E-01  2135.00E-09  4521.67E-09  
120000.E+00  2330.00E-09  1048.79E-08  
160000.E+00  2760.00E-09  5674.83E-09  
200000.E+00  2720.00E-09  1313.45E-08  
240000.E+00  2635.00E-09  4138.49E-09  
280000.E+00  2855.00E-09  4921.28E-09  
320000.E+00  2740.00E-09  3488.33E-09  
360000.E+00  2930.00E-09  3845.98E-09  
400000.E+00  2705.00E-09  4885.13E-09  
440000.E+00  2785.00E-09  6336.70E-09  
480000.E+00  2775.00E-09  1104.06E-08  
520000.E+00  2945.00E-09  3143.53E-09  
560000.E+00  2625.00E-09  9039.72E-09  
600000.E+00  2805.00E-09  8668.40E-09  
640000.E+00  3070.00E-09  1355.20E-08  
680000.E+00  2855.00E-09  7450.41E-09  
720000.E+00  3000.00E-09  4680.35E-09  
760000.E+00  2870.00E-09  5642.59E-09  
800000.E+00  3060.00E-09  7265.55E-09  
840000.E+00  3115.00E-09  6311.94E-09  
880000.E+00  3315.00E-09  7020.59E-09  
920000.E+00  3080.00E-09  2454.88E-08  
960000.E+00  3260.00E-09  6580.12E-09  
100000.E+01  3270.00E-09  6697.44E-09  
104000.E+01  3345.00E-09  1588.69E-08  
108000.E+01  3345.00E-09  6045.90E-09  
112000.E+01  3425.00E-09  7804.57E-09  
116000.E+01  3480.00E-09  8212.59E-09  
120000.E+01  3655.00E-09  5510.06E-09  
124000.E+01  3605.00E-09  4813.84E-09  
128000.E+01  3670.00E-09  6838.12E-09  
132000.E+01  3795.00E-09  7492.69E-09  
136000.E+01  3665.00E-09  2349.86E-08  
140000.E+01  3965.00E-09  9278.54E-09  
144000.E+01  3930.00E-09  1035.44E-08  
148000.E+01  4120.00E-09  1406.05E-08  
152000.E+01  4375.00E-09  2454.41E-08  
156000.E+01  4485.00E-09  9085.35E-09  
160000.E+01  4340.00E-09  6880.52E-09  
164000.E+01  4565.00E-09  1265.45E-08  
168000.E+01  4830.00E-09  1189.16E-08  
172000.E+01  4755.00E-09  6803.58E-09  
176000.E+01  5120.00E-09  9904.49E-09  
180000.E+01  5385.00E-09  7656.82E-09  
184000.E+01  5480.00E-09  8324.73E-09  
188000.E+01  5790.00E-09  1066.33E-08  
192000.E+01  6005.00E-09  1170.07E-08  
196000.E+01  6095.00E-09  7860.53E-09  
200000.E+01  6595.00E-09  1085.49E-08  
204000.E+01  6820.00E-09  1204.92E-08  
208000.E+01  6950.00E-09  1598.41E-08  
212000.E+01  7735.00E-09  1319.03E-08  
216000.E+01  8085.00E-09  1795.41E-08  
220000.E+01  8800.00E-09  3197.26E-08  
224000.E+01  9885.00E-09  2547.61E-08  
228000.E+01  1098.00E-08  3202.93E-08  
232000.E+01  1265.00E-08  3776.34E-08  
236000.E+01  1578.00E-08  4524.69E-08  
240000.E+01  2205.50E-08  5835.93E-08  
244000.E+01  4495.50E-08  7770.99E-08  
248000.E+01  8201.00E-08  1043.36E-07  
252000.E+01  7471.50E-08  8420.84E-08  
256000.E+01  2798.50E-08  2805.16E-08  
260000.E+01  4955.00E-09  3715.35E-09  
264000.E+01  1850.00E-10  1460.20E-10  
268000.E+01  0000.00E+00  0000.00E+00  
272000.E+01  0000.00E+00  0000.00E+00  
276000.E+01  0000.00E+00  0000.00E+00  
280000.E+01  0000.00E+00  0000.00E+00  
284000.E+01  0000.00E+00  0000.00E+00  
288000.E+01  0000.00E+00  0000.00E+00  
292000.E+01  0000.00E+00  0000.00E+00  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
