====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5600 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =6905.00
 Total Target Vacancies     = 63 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1053.58E-09  1280.09E-09  
800000.E-01  2136.13E-09  4682.55E-09  
120000.E+00  2338.88E-09  4222.49E-09  
160000.E+00  2599.57E-09  3369.81E-09  
200000.E+00  2487.33E-09  4319.50E-09  
240000.E+00  2396.81E-09  4829.29E-09  
280000.E+00  2653.87E-09  1497.69E-08  
320000.E+00  2719.04E-09  6554.58E-09  
360000.E+00  2440.26E-09  3929.99E-09  
400000.E+00  2592.32E-09  1249.84E-08  
440000.E+00  2780.59E-09  4715.39E-09  
480000.E+00  2722.66E-09  3952.69E-09  
520000.E+00  2773.35E-09  4375.17E-09  
560000.E+00  2595.94E-09  1735.96E-08  
600000.E+00  2661.12E-09  6348.16E-09  
640000.E+00  2595.94E-09  5252.95E-09  
680000.E+00  2773.35E-09  5390.33E-09  
720000.E+00  2809.56E-09  6216.81E-09  
760000.E+00  2910.93E-09  4875.68E-09  
800000.E+00  2932.66E-09  5639.57E-09  
840000.E+00  3077.48E-09  6834.93E-09  
880000.E+00  3034.03E-09  7279.77E-09  
920000.E+00  2918.18E-09  1830.88E-08  
960000.E+00  3044.90E-09  8337.20E-09  
