====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 3800 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 51 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  2315.00E-09  5098.49E-09  
800000.E-01  3010.00E-09  6491.70E-09  
120000.E+00  3645.00E-09  2738.16E-08  
160000.E+00  3550.00E-09  7786.63E-09  
200000.E+00  3890.00E-09  1130.93E-08  
240000.E+00  3590.00E-09  1725.37E-08  
280000.E+00  4010.00E-09  1254.61E-08  
320000.E+00  3990.00E-09  9194.67E-09  
360000.E+00  4045.00E-09  6051.37E-09  
400000.E+00  4060.00E-09  6466.61E-09  
440000.E+00  4375.00E-09  1782.82E-08  
480000.E+00  4220.00E-09  9744.86E-09  
520000.E+00  4435.00E-09  1581.79E-08  
560000.E+00  4715.00E-09  1085.95E-08  
600000.E+00  4990.00E-09  6009.94E-09  
640000.E+00  4965.00E-09  8957.06E-09  
680000.E+00  5220.00E-09  1236.51E-08  
720000.E+00  5455.00E-09  1124.28E-08  
760000.E+00  5455.00E-09  1360.91E-08  
800000.E+00  5900.00E-09  1828.29E-08  
840000.E+00  5820.00E-09  1782.26E-08  
880000.E+00  6430.00E-09  1151.69E-08  
920000.E+00  6900.00E-09  8840.86E-09  
960000.E+00  6950.00E-09  1375.30E-08  
100000.E+01  7465.00E-09  1388.99E-08  
104000.E+01  8030.00E-09  2161.08E-08  
108000.E+01  8920.00E-09  2150.30E-08  
112000.E+01  9580.00E-09  2170.26E-08  
116000.E+01  1023.50E-08  2617.67E-08  
120000.E+01  1165.00E-08  3273.15E-08  
124000.E+01  1379.00E-08  3556.95E-08  
128000.E+01  1704.50E-08  3981.29E-08  
132000.E+01  2524.00E-08  4493.34E-08  
136000.E+01  7241.00E-08  1168.13E-07  
140000.E+01  1226.70E-07  1296.54E-07  
144000.E+01  2672.00E-08  2578.14E-08  
148000.E+01  3250.00E-10  1886.13E-10  
152000.E+01  0000.00E+00  0000.00E+00  
156000.E+01  0000.00E+00  0000.00E+00  
160000.E+01  0000.00E+00  0000.00E+00  
164000.E+01  0000.00E+00  0000.00E+00  
168000.E+01  0000.00E+00  0000.00E+00  
172000.E+01  0000.00E+00  0000.00E+00  
176000.E+01  0000.00E+00  0000.00E+00  
180000.E+01  0000.00E+00  0000.00E+00  
184000.E+01  0000.00E+00  0000.00E+00  
188000.E+01  0000.00E+00  0000.00E+00  
192000.E+01  0000.00E+00  0000.00E+00  
196000.E+01  0000.00E+00  0000.00E+00  
200000.E+01  0000.00E+00  0000.00E+00  
204000.E+01  0000.00E+00  0000.00E+00  
208000.E+01  0000.00E+00  0000.00E+00  
212000.E+01  0000.00E+00  0000.00E+00  
216000.E+01  0000.00E+00  0000.00E+00  
220000.E+01  0000.00E+00  0000.00E+00  
224000.E+01  0000.00E+00  0000.00E+00  
228000.E+01  0000.00E+00  0000.00E+00  
232000.E+01  0000.00E+00  0000.00E+00  
236000.E+01  0000.00E+00  0000.00E+00  
240000.E+01  0000.00E+00  0000.00E+00  
244000.E+01  0000.00E+00  0000.00E+00  
248000.E+01  0000.00E+00  0000.00E+00  
252000.E+01  0000.00E+00  0000.00E+00  
256000.E+01  0000.00E+00  0000.00E+00  
260000.E+01  0000.00E+00  0000.00E+00  
264000.E+01  0000.00E+00  0000.00E+00  
268000.E+01  0000.00E+00  0000.00E+00  
272000.E+01  0000.00E+00  0000.00E+00  
276000.E+01  0000.00E+00  0000.00E+00  
280000.E+01  0000.00E+00  0000.00E+00  
284000.E+01  0000.00E+00  0000.00E+00  
288000.E+01  0000.00E+00  0000.00E+00  
292000.E+01  0000.00E+00  0000.00E+00  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
