====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5100 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 60 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1235.00E-09  2458.45E-09  
800000.E-01  2355.00E-09  6476.55E-09  
120000.E+00  2675.00E-09  2331.55E-09  
160000.E+00  2750.00E-09  7591.22E-09  
200000.E+00  2655.00E-09  6414.45E-09  
240000.E+00  2895.00E-09  4170.24E-09  
280000.E+00  2780.00E-09  4431.30E-09  
320000.E+00  2635.00E-09  4716.81E-09  
360000.E+00  2795.00E-09  7191.84E-09  
400000.E+00  2780.00E-09  4979.95E-09  
440000.E+00  2995.00E-09  3495.52E-09  
480000.E+00  2975.00E-09  1097.74E-08  
520000.E+00  3195.00E-09  6130.49E-09  
560000.E+00  3045.00E-09  5569.39E-09  
600000.E+00  3080.00E-09  4955.91E-09  
640000.E+00  3145.00E-09  1807.85E-08  
680000.E+00  3280.00E-09  1945.37E-08  
720000.E+00  3150.00E-09  7986.04E-09  
760000.E+00  3165.00E-09  8014.60E-09  
800000.E+00  3075.00E-09  5842.52E-09  
840000.E+00  3410.00E-09  6123.89E-09  
880000.E+00  3470.00E-09  1008.67E-08  
920000.E+00  3400.00E-09  6706.18E-09  
960000.E+00  3610.00E-09  1962.77E-08  
100000.E+01  3405.00E-09  4890.57E-09  
104000.E+01  3855.00E-09  4437.48E-09  
108000.E+01  3790.00E-09  2193.46E-08  
112000.E+01  3780.00E-09  6375.77E-09  
116000.E+01  3960.00E-09  8584.46E-09  
120000.E+01  3930.00E-09  1837.06E-08  
124000.E+01  4080.00E-09  8712.99E-09  
128000.E+01  4175.00E-09  7945.80E-09  
132000.E+01  4340.00E-09  8387.01E-09  
136000.E+01  4515.00E-09  1186.74E-08  
140000.E+01  4500.00E-09  1519.78E-08  
144000.E+01  4635.00E-09  1032.45E-08  
148000.E+01  4735.00E-09  1015.49E-08  
152000.E+01  4880.00E-09  1303.77E-08  
156000.E+01  5415.00E-09  8466.10E-09  
160000.E+01  5450.00E-09  1113.89E-08  
164000.E+01  5520.00E-09  1085.87E-08  
168000.E+01  5625.00E-09  2576.59E-08  
172000.E+01  6150.00E-09  1557.99E-08  
176000.E+01  6510.00E-09  1134.38E-08  
180000.E+01  6665.00E-09  1154.87E-08  
184000.E+01  6910.00E-09  1201.30E-08  
188000.E+01  7510.00E-09  2841.29E-08  
192000.E+01  8170.00E-09  1927.54E-08  
196000.E+01  8450.00E-09  1827.23E-08  
200000.E+01  9590.00E-09  2684.20E-08  
204000.E+01  1069.50E-08  2204.34E-08  
208000.E+01  1263.00E-08  2222.92E-08  
212000.E+01  1466.50E-08  3186.27E-08  
216000.E+01  1940.00E-08  5251.63E-08  
220000.E+01  3319.00E-08  7081.92E-08  
224000.E+01  7308.50E-08  1096.98E-07  
228000.E+01  8721.50E-08  9518.02E-08  
232000.E+01  4072.00E-08  4271.37E-08  
236000.E+01  6390.00E-09  5541.47E-09  
240000.E+01  3850.00E-10  3080.67E-10  
244000.E+01  0000.00E+00  0000.00E+00  
248000.E+01  0000.00E+00  0000.00E+00  
252000.E+01  0000.00E+00  0000.00E+00  
256000.E+01  0000.00E+00  0000.00E+00  
260000.E+01  0000.00E+00  0000.00E+00  
264000.E+01  0000.00E+00  0000.00E+00  
268000.E+01  0000.00E+00  0000.00E+00  
272000.E+01  0000.00E+00  0000.00E+00  
276000.E+01  0000.00E+00  0000.00E+00  
280000.E+01  0000.00E+00  0000.00E+00  
284000.E+01  0000.00E+00  0000.00E+00  
288000.E+01  0000.00E+00  0000.00E+00  
292000.E+01  0000.00E+00  0000.00E+00  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
