====== H (1000) into Layer 1                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5900 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicij
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 65 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1018.50E-09  3650.44E-09  
800000.E-01  2000.00E-09  4859.26E-09  
120000.E+00  2204.00E-09  8341.72E-09  
160000.E+00  2274.00E-09  4387.83E-09  
200000.E+00  2288.50E-09  8277.00E-09  
240000.E+00  2335.50E-09  4442.56E-09  
280000.E+00  2364.00E-09  8072.38E-09  
320000.E+00  2384.00E-09  6311.86E-09  
360000.E+00  2400.00E-09  8482.87E-09  
400000.E+00  2468.50E-09  4300.59E-09  
440000.E+00  2488.00E-09  6970.08E-09  
480000.E+00  2471.50E-09  6710.07E-09  
520000.E+00  2537.00E-09  7146.44E-09  
560000.E+00  2502.50E-09  8554.44E-09  
600000.E+00  2571.50E-09  5026.39E-09  
640000.E+00  2593.00E-09  6209.42E-09  
680000.E+00  2613.50E-09  6691.85E-09  
720000.E+00  2667.00E-09  7190.36E-09  
760000.E+00  2694.50E-09  5230.41E-09  
800000.E+00  2641.00E-09  6444.59E-09  
840000.E+00  2722.00E-09  5957.64E-09  
880000.E+00  2738.00E-09  7288.64E-09  
920000.E+00  2853.50E-09  7502.38E-09  
960000.E+00  2808.50E-09  6048.87E-09  
100000.E+01  2850.50E-09  6414.90E-09  
104000.E+01  2832.00E-09  6653.17E-09  
108000.E+01  3014.00E-09  6189.21E-09  
112000.E+01  2897.00E-09  6549.19E-09  
116000.E+01  3021.50E-09  1083.85E-08  
120000.E+01  3074.50E-09  8038.36E-09  
124000.E+01  3048.50E-09  7079.77E-09  
128000.E+01  3179.00E-09  9270.97E-09  
132000.E+01  3162.50E-09  9447.38E-09  
136000.E+01  3283.50E-09  9701.66E-09  
140000.E+01  3265.50E-09  9593.05E-09  
144000.E+01  3274.50E-09  8147.31E-09  
148000.E+01  3364.50E-09  1119.80E-08  
152000.E+01  3425.00E-09  7649.31E-09  
156000.E+01  3482.00E-09  9936.13E-09  
160000.E+01  3587.00E-09  7793.08E-09  
164000.E+01  3685.00E-09  9738.41E-09  
168000.E+01  3699.00E-09  7608.80E-09  
172000.E+01  3849.00E-09  1116.95E-08  
176000.E+01  3882.50E-09  8850.47E-09  
180000.E+01  3981.00E-09  9936.27E-09  
184000.E+01  4053.50E-09  1034.55E-08  
188000.E+01  4103.00E-09  1223.34E-08  
192000.E+01  4230.50E-09  1271.71E-08  
196000.E+01  4292.00E-09  9986.77E-09  
200000.E+01  4450.00E-09  1125.18E-08  
204000.E+01  4529.00E-09  1095.11E-08  
