====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 6100 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =4617.30
 Total Target Vacancies     = 67 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  9312.79E-10  1582.37E-09  
800000.E-01  1938.36E-09  3749.59E-09  
120000.E+00  1900.46E-09  3447.14E-09  
160000.E+00  2387.76E-09  3392.81E-09  
200000.E+00  2225.32E-09  1208.38E-08  
240000.E+00  2306.54E-09  3115.37E-09  
280000.E+00  2263.23E-09  3969.23E-09  
320000.E+00  2425.66E-09  1761.71E-08  
360000.E+00  2317.37E-09  3403.69E-09  
400000.E+00  2447.32E-09  1878.70E-08  
440000.E+00  2122.45E-09  2082.71E-09  
480000.E+00  2414.83E-09  3006.44E-09  
520000.E+00  2306.54E-09  6780.67E-09  
560000.E+00  2328.20E-09  3711.24E-09  
600000.E+00  2566.43E-09  3433.51E-09  
640000.E+00  2604.33E-09  5170.23E-09  
680000.E+00  2625.99E-09  8353.37E-09  
720000.E+00  2479.80E-09  3912.81E-09  
760000.E+00  2458.14E-09  5566.64E-09  
800000.E+00  2739.69E-09  1897.05E-08  
840000.E+00  2458.14E-09  2457.54E-09  
880000.E+00  2685.55E-09  1521.52E-08  
920000.E+00  2734.28E-09  3068.77E-09  
960000.E+00  2799.25E-09  4580.70E-09  
100000.E+01  2636.82E-09  2354.73E-08  
104000.E+01  2566.43E-09  4762.69E-09  
108000.E+01  2983.34E-09  2967.34E-09  
112000.E+01  2685.55E-09  2591.87E-09  
116000.E+01  2918.37E-09  2484.64E-08  
120000.E+01  2923.78E-09  2091.42E-08  
124000.E+01  2847.98E-09  6264.79E-09  
128000.E+01  2912.95E-09  6940.37E-09  
132000.E+01  3042.90E-09  3405.53E-09  
136000.E+01  3221.58E-09  7659.38E-09  
140000.E+01  3053.73E-09  6484.37E-09  
144000.E+01  3026.66E-09  4878.41E-09  
148000.E+01  3199.92E-09  2227.16E-08  
152000.E+01  3248.65E-09  8758.47E-09  
156000.E+01  3151.19E-09  8995.20E-09  
160000.E+01  3156.60E-09  5530.63E-09  
164000.E+01  3405.67E-09  8363.04E-09  
168000.E+01  3264.89E-09  5637.09E-09  
172000.E+01  3270.31E-09  1115.21E-08  
176000.E+01  3616.83E-09  6992.26E-09  
180000.E+01  3459.81E-09  5673.25E-09  
184000.E+01  3606.00E-09  7769.87E-09  
188000.E+01  4022.91E-09  1507.43E-08  
192000.E+01  4033.74E-09  1253.33E-08  
196000.E+01  3974.18E-09  8239.06E-09  
200000.E+01  4060.81E-09  1049.64E-08  
204000.E+01  4277.39E-09  9669.11E-09  
208000.E+01  4055.40E-09  7483.66E-09  
212000.E+01  4391.09E-09  9924.39E-09  
216000.E+01  4537.28E-09  9056.53E-09  
220000.E+01  4656.40E-09  1490.66E-08  
224000.E+01  4531.86E-09  5973.15E-09  
228000.E+01  4786.34E-09  8275.07E-09  
232000.E+01  5127.45E-09  1046.71E-08  
236000.E+01  5571.43E-09  1063.11E-08  
240000.E+01  5122.04E-09  6876.38E-09  
244000.E+01  5582.26E-09  1814.27E-08  
248000.E+01  5625.58E-09  7311.93E-09  
252000.E+01  5896.30E-09  9528.44E-09  
256000.E+01  6421.50E-09  1266.18E-08  
260000.E+01  6578.51E-09  1998.27E-08  
264000.E+01  7125.37E-09  1549.85E-08  
268000.E+01  7520.62E-09  2401.80E-08  
272000.E+01  7666.81E-09  1748.44E-08  
276000.E+01  8809.25E-09  1728.05E-08  
280000.E+01  9778.43E-09  2218.13E-08  
284000.E+01  1094.79E-08  4085.15E-08  
288000.E+01  1205.25E-08  2349.63E-08  
292000.E+01  1534.99E-08  3261.01E-08  
296000.E+01  2238.32E-08  5665.54E-08  
300000.E+01  3882.68E-08  6225.23E-08  
304000.E+01  6711.71E-08  8564.24E-08  
308000.E+01  7191.97E-08  9224.59E-08  
312000.E+01  4327.74E-08  4808.87E-08  
316000.E+01  1365.52E-08  1246.77E-08  
320000.E+01  2804.67E-09  2478.26E-09  
324000.E+01  2165.77E-10  7545.04E-11  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
