====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 4900 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 60 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1555.00E-09  3185.72E-09  
800000.E-01  2430.00E-09  5616.78E-09  
120000.E+00  2880.00E-09  3609.54E-09  
160000.E+00  2735.00E-09  4076.53E-09  
200000.E+00  2870.00E-09  9439.85E-09  
240000.E+00  2930.00E-09  8955.87E-09  
280000.E+00  3030.00E-09  1351.26E-08  
320000.E+00  2875.00E-09  6016.02E-09  
360000.E+00  3020.00E-09  6868.21E-09  
400000.E+00  3015.00E-09  9846.93E-09  
440000.E+00  3025.00E-09  7407.06E-09  
480000.E+00  3325.00E-09  2335.99E-08  
520000.E+00  3090.00E-09  6188.28E-09  
560000.E+00  3340.00E-09  6314.51E-09  
600000.E+00  3240.00E-09  7753.59E-09  
640000.E+00  3245.00E-09  3646.71E-09  
680000.E+00  3370.00E-09  6717.61E-09  
720000.E+00  3760.00E-09  9001.64E-09  
760000.E+00  3335.00E-09  6924.15E-09  
800000.E+00  3450.00E-09  6166.91E-09  
840000.E+00  3765.00E-09  5732.68E-09  
880000.E+00  3525.00E-09  1765.30E-08  
920000.E+00  3650.00E-09  1144.08E-08  
960000.E+00  3625.00E-09  9208.80E-09  
100000.E+01  3755.00E-09  9724.56E-09  
104000.E+01  3920.00E-09  6260.36E-09  
108000.E+01  3955.00E-09  1805.69E-08  
112000.E+01  4130.00E-09  1651.03E-08  
116000.E+01  4345.00E-09  1060.31E-08  
120000.E+01  4485.00E-09  7921.69E-09  
124000.E+01  4680.00E-09  1712.73E-08  
128000.E+01  4560.00E-09  1172.08E-08  
132000.E+01  4970.00E-09  1813.23E-08  
136000.E+01  4905.00E-09  1124.99E-08  
140000.E+01  4955.00E-09  9308.47E-09  
144000.E+01  5200.00E-09  9313.50E-09  
148000.E+01  5305.00E-09  7240.78E-09  
152000.E+01  5745.00E-09  1678.90E-08  
156000.E+01  6080.00E-09  1952.94E-08  
160000.E+01  6075.00E-09  1674.41E-08  
164000.E+01  6600.00E-09  1548.25E-08  
168000.E+01  6890.00E-09  1570.40E-08  
172000.E+01  7325.00E-09  2436.74E-08  
176000.E+01  7650.00E-09  2244.57E-08  
180000.E+01  8405.00E-09  2480.36E-08  
184000.E+01  9480.00E-09  1771.85E-08  
188000.E+01  1065.00E-08  2094.34E-08  
192000.E+01  1152.00E-08  2332.88E-08  
196000.E+01  1390.50E-08  3416.43E-08  
200000.E+01  1735.50E-08  5540.64E-08  
204000.E+01  2604.50E-08  6050.31E-08  
208000.E+01  5861.50E-08  9609.68E-08  
212000.E+01  9729.50E-08  1128.57E-07  
216000.E+01  5730.50E-08  5476.21E-08  
220000.E+01  1036.00E-08  1092.06E-08  
224000.E+01  4850.00E-10  4126.62E-10  
228000.E+01  0000.00E+00  0000.00E+00  
232000.E+01  0000.00E+00  0000.00E+00  
236000.E+01  0000.00E+00  0000.00E+00  
240000.E+01  0000.00E+00  0000.00E+00  
244000.E+01  0000.00E+00  0000.00E+00  
248000.E+01  0000.00E+00  0000.00E+00  
252000.E+01  0000.00E+00  0000.00E+00  
256000.E+01  0000.00E+00  0000.00E+00  
260000.E+01  0000.00E+00  0000.00E+00  
264000.E+01  0000.00E+00  0000.00E+00  
268000.E+01  0000.00E+00  0000.00E+00  
272000.E+01  0000.00E+00  0000.00E+00  
276000.E+01  0000.00E+00  0000.00E+00  
280000.E+01  0000.00E+00  0000.00E+00  
284000.E+01  0000.00E+00  0000.00E+00  
288000.E+01  0000.00E+00  0000.00E+00  
292000.E+01  0000.00E+00  0000.00E+00  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
