====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5800 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 66 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1030.00E-09  1048.67E-09  
800000.E-01  2195.00E-09  4355.52E-09  
120000.E+00  2290.00E-09  2836.12E-09  
160000.E+00  2435.00E-09  6385.36E-09  
200000.E+00  2230.00E-09  3952.13E-09  
240000.E+00  2470.00E-09  5015.36E-09  
280000.E+00  2505.00E-09  5363.50E-09  
320000.E+00  2625.00E-09  8546.92E-09  
360000.E+00  2385.00E-09  3838.93E-09  
400000.E+00  2495.00E-09  5665.98E-09  
440000.E+00  2325.00E-09  5203.76E-09  
480000.E+00  2640.00E-09  5791.34E-09  
520000.E+00  2610.00E-09  2766.94E-08  
560000.E+00  2485.00E-09  5627.21E-09  
600000.E+00  2525.00E-09  7720.53E-09  
640000.E+00  2540.00E-09  3170.87E-09  
680000.E+00  2705.00E-09  9098.22E-09  
720000.E+00  2680.00E-09  3535.21E-09  
760000.E+00  2685.00E-09  4538.60E-09  
800000.E+00  2820.00E-09  8776.16E-09  
840000.E+00  2915.00E-09  1062.03E-08  
880000.E+00  2805.00E-09  4672.22E-09  
920000.E+00  2995.00E-09  3422.56E-09  
960000.E+00  2860.00E-09  1490.59E-08  
100000.E+01  2920.00E-09  7281.51E-09  
104000.E+01  3210.00E-09  4351.60E-09  
108000.E+01  3030.00E-09  6920.50E-09  
112000.E+01  3080.00E-09  7682.91E-09  
116000.E+01  3160.00E-09  9855.53E-09  
120000.E+01  3000.00E-09  1242.08E-08  
124000.E+01  2955.00E-09  4419.45E-09  
128000.E+01  2975.00E-09  5539.46E-09  
132000.E+01  3380.00E-09  6811.81E-09  
136000.E+01  3550.00E-09  3788.35E-09  
140000.E+01  3445.00E-09  5950.05E-09  
144000.E+01  3545.00E-09  4913.92E-09  
148000.E+01  3625.00E-09  1596.39E-08  
152000.E+01  3560.00E-09  8355.44E-09  
156000.E+01  3625.00E-09  1300.75E-08  
160000.E+01  3760.00E-09  1916.96E-08  
164000.E+01  3640.00E-09  1794.68E-08  
168000.E+01  3695.00E-09  1039.97E-08  
172000.E+01  3995.00E-09  1539.76E-08  
176000.E+01  4025.00E-09  6385.47E-09  
180000.E+01  4375.00E-09  8929.44E-09  
184000.E+01  4270.00E-09  1281.83E-08  
188000.E+01  4430.00E-09  1204.67E-08  
192000.E+01  4790.00E-09  1059.56E-08  
196000.E+01  4545.00E-09  2580.11E-08  
200000.E+01  4585.00E-09  1700.04E-08  
204000.E+01  5045.00E-09  7205.16E-09  
208000.E+01  4950.00E-09  8596.15E-09  
212000.E+01  5315.00E-09  1037.48E-08  
216000.E+01  5185.00E-09  1486.14E-08  
220000.E+01  5610.00E-09  1420.51E-08  
224000.E+01  6160.00E-09  2101.56E-08  
228000.E+01  6640.00E-09  9983.55E-09  
232000.E+01  6405.00E-09  1608.36E-08  
236000.E+01  7105.00E-09  1339.39E-08  
240000.E+01  6815.00E-09  9880.53E-09  
244000.E+01  8045.00E-09  2958.54E-08  
248000.E+01  8115.00E-09  2065.07E-08  
252000.E+01  9555.00E-09  1740.21E-08  
256000.E+01  1012.00E-08  2378.52E-08  
260000.E+01  1110.50E-08  3487.85E-08  
264000.E+01  1255.50E-08  2863.49E-08  
268000.E+01  1605.00E-08  2838.65E-08  
272000.E+01  2356.50E-08  5860.19E-08  
276000.E+01  4634.00E-08  7178.91E-08  
280000.E+01  7763.50E-08  1026.40E-07  
284000.E+01  6994.00E-08  8188.40E-08  
288000.E+01  3183.50E-08  3676.33E-08  
292000.E+01  5985.00E-09  6048.85E-09  
296000.E+01  7600.00E-10  5854.52E-10  
300000.E+01  1100.00E-10  1131.49E-10  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
