====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5200 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 62 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1455.00E-09  3677.28E-09  
800000.E-01  2365.00E-09  3291.20E-09  
120000.E+00  2660.00E-09  4561.91E-09  
160000.E+00  2765.00E-09  5720.99E-09  
200000.E+00  2655.00E-09  8764.12E-09  
240000.E+00  2820.00E-09  3943.54E-09  
280000.E+00  2700.00E-09  7385.40E-09  
320000.E+00  2450.00E-09  2221.80E-08  
360000.E+00  2835.00E-09  3773.40E-09  
400000.E+00  3000.00E-09  6058.61E-09  
440000.E+00  2875.00E-09  1063.04E-08  
480000.E+00  2765.00E-09  5106.64E-09  
520000.E+00  2870.00E-09  6617.79E-09  
560000.E+00  3100.00E-09  1791.34E-08  
600000.E+00  3265.00E-09  4671.90E-09  
640000.E+00  3245.00E-09  1012.38E-08  
680000.E+00  3150.00E-09  4905.56E-09  
720000.E+00  3295.00E-09  3727.76E-08  
760000.E+00  3525.00E-09  9353.04E-09  
800000.E+00  3145.00E-09  6977.52E-09  
840000.E+00  3360.00E-09  5579.98E-09  
880000.E+00  3210.00E-09  1992.96E-08  
920000.E+00  3550.00E-09  1507.11E-08  
960000.E+00  3430.00E-09  5946.07E-09  
100000.E+01  3490.00E-09  4426.07E-09  
104000.E+01  3585.00E-09  9872.13E-09  
108000.E+01  3690.00E-09  8160.12E-09  
112000.E+01  3540.00E-09  9260.63E-09  
116000.E+01  3625.00E-09  2422.89E-08  
120000.E+01  3660.00E-09  8846.59E-09  
124000.E+01  4050.00E-09  2094.87E-08  
128000.E+01  3965.00E-09  2172.74E-08  
132000.E+01  4010.00E-09  6213.06E-09  
136000.E+01  4200.00E-09  9550.56E-09  
140000.E+01  4370.00E-09  7973.32E-09  
144000.E+01  4515.00E-09  1602.08E-08  
148000.E+01  4620.00E-09  1298.21E-08  
152000.E+01  4880.00E-09  1532.18E-08  
156000.E+01  4975.00E-09  1592.09E-08  
160000.E+01  5045.00E-09  8572.90E-09  
164000.E+01  5130.00E-09  6504.39E-09  
168000.E+01  5375.00E-09  1302.75E-08  
172000.E+01  5515.00E-09  1276.10E-08  
176000.E+01  5925.00E-09  1959.11E-08  
180000.E+01  5840.00E-09  1142.78E-08  
184000.E+01  6210.00E-09  1066.15E-08  
188000.E+01  6615.00E-09  1174.81E-08  
192000.E+01  7055.00E-09  1437.27E-08  
196000.E+01  7540.00E-09  1648.26E-08  
200000.E+01  7850.00E-09  1349.33E-08  
204000.E+01  8610.00E-09  2694.07E-08  
208000.E+01  9370.00E-09  1517.88E-08  
212000.E+01  1066.50E-08  2030.19E-08  
216000.E+01  1232.50E-08  3549.85E-08  
220000.E+01  1509.50E-08  2800.40E-08  
224000.E+01  1978.50E-08  4548.09E-08  
228000.E+01  3791.00E-08  6792.18E-08  
232000.E+01  7729.00E-08  1069.89E-07  
236000.E+01  8488.50E-08  9286.62E-08  
240000.E+01  3448.00E-08  3467.39E-08  
244000.E+01  5185.00E-09  4651.51E-09  
248000.E+01  1400.00E-10  9277.84E-11  
252000.E+01  0000.00E+00  0000.00E+00  
256000.E+01  0000.00E+00  0000.00E+00  
260000.E+01  0000.00E+00  0000.00E+00  
264000.E+01  0000.00E+00  0000.00E+00  
268000.E+01  0000.00E+00  0000.00E+00  
272000.E+01  0000.00E+00  0000.00E+00  
276000.E+01  0000.00E+00  0000.00E+00  
280000.E+01  0000.00E+00  0000.00E+00  
284000.E+01  0000.00E+00  0000.00E+00  
288000.E+01  0000.00E+00  0000.00E+00  
292000.E+01  0000.00E+00  0000.00E+00  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
