====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 4400 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 54 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1810.00E-09  6502.00E-09  
800000.E-01  2650.00E-09  5186.39E-09  
120000.E+00  3250.00E-09  1838.56E-08  
160000.E+00  3250.00E-09  7356.52E-09  
200000.E+00  3220.00E-09  1152.68E-08  
240000.E+00  3270.00E-09  9376.41E-09  
280000.E+00  3185.00E-09  5522.55E-09  
320000.E+00  3365.00E-09  9090.41E-09  
360000.E+00  3585.00E-09  5822.79E-09  
400000.E+00  3370.00E-09  8709.69E-09  
440000.E+00  3435.00E-09  5543.43E-09  
480000.E+00  3690.00E-09  1038.82E-08  
520000.E+00  3835.00E-09  5979.69E-09  
560000.E+00  3675.00E-09  5355.28E-09  
600000.E+00  4130.00E-09  7853.60E-09  
640000.E+00  3735.00E-09  1041.10E-08  
680000.E+00  4085.00E-09  1053.48E-08  
720000.E+00  4005.00E-09  1104.82E-08  
760000.E+00  4230.00E-09  7018.36E-09  
800000.E+00  4160.00E-09  1039.67E-08  
840000.E+00  4395.00E-09  1261.07E-08  
880000.E+00  4540.00E-09  8144.34E-09  
920000.E+00  4610.00E-09  8878.40E-09  
960000.E+00  4545.00E-09  6010.50E-09  
100000.E+01  4795.00E-09  6261.29E-09  
104000.E+01  5030.00E-09  1294.04E-08  
108000.E+01  5390.00E-09  9059.93E-09  
112000.E+01  5335.00E-09  1115.69E-08  
116000.E+01  5890.00E-09  2048.46E-08  
120000.E+01  5850.00E-09  1601.62E-08  
124000.E+01  6600.00E-09  1701.58E-08  
128000.E+01  6355.00E-09  1364.30E-08  
132000.E+01  7340.00E-09  3087.05E-08  
136000.E+01  7175.00E-09  1461.79E-08  
140000.E+01  7665.00E-09  2449.44E-08  
144000.E+01  8165.00E-09  1651.14E-08  
148000.E+01  9005.00E-09  3423.43E-08  
152000.E+01  1029.50E-08  2291.64E-08  
156000.E+01  1094.50E-08  2325.96E-08  
160000.E+01  1271.00E-08  3276.79E-08  
164000.E+01  1537.00E-08  2752.94E-08  
168000.E+01  2058.50E-08  5016.49E-08  
172000.E+01  4144.00E-08  7024.53E-08  
176000.E+01  1001.15E-07  1195.57E-07  
180000.E+01  7887.50E-08  7867.19E-08  
184000.E+01  1396.00E-08  1403.08E-08  
188000.E+01  4850.00E-10  4336.46E-10  
192000.E+01  0000.00E+00  0000.00E+00  
196000.E+01  0000.00E+00  0000.00E+00  
200000.E+01  0000.00E+00  0000.00E+00  
204000.E+01  0000.00E+00  0000.00E+00  
208000.E+01  0000.00E+00  0000.00E+00  
212000.E+01  0000.00E+00  0000.00E+00  
216000.E+01  0000.00E+00  0000.00E+00  
220000.E+01  0000.00E+00  0000.00E+00  
224000.E+01  0000.00E+00  0000.00E+00  
228000.E+01  0000.00E+00  0000.00E+00  
232000.E+01  0000.00E+00  0000.00E+00  
236000.E+01  0000.00E+00  0000.00E+00  
240000.E+01  0000.00E+00  0000.00E+00  
244000.E+01  0000.00E+00  0000.00E+00  
248000.E+01  0000.00E+00  0000.00E+00  
252000.E+01  0000.00E+00  0000.00E+00  
256000.E+01  0000.00E+00  0000.00E+00  
260000.E+01  0000.00E+00  0000.00E+00  
264000.E+01  0000.00E+00  0000.00E+00  
268000.E+01  0000.00E+00  0000.00E+00  
272000.E+01  0000.00E+00  0000.00E+00  
276000.E+01  0000.00E+00  0000.00E+00  
280000.E+01  0000.00E+00  0000.00E+00  
284000.E+01  0000.00E+00  0000.00E+00  
288000.E+01  0000.00E+00  0000.00E+00  
292000.E+01  0000.00E+00  0000.00E+00  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
