====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5700 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 67 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1055.00E-09  1698.87E-09  
800000.E-01  1850.00E-09  2819.39E-09  
120000.E+00  2405.00E-09  1488.99E-08  
160000.E+00  2335.00E-09  4965.47E-09  
200000.E+00  2345.00E-09  3016.75E-09  
240000.E+00  2400.00E-09  5113.19E-09  
280000.E+00  2260.00E-09  7111.09E-09  
320000.E+00  2340.00E-09  5341.53E-09  
360000.E+00  2370.00E-09  4833.67E-09  
400000.E+00  2640.00E-09  2378.86E-08  
440000.E+00  2580.00E-09  3418.46E-09  
480000.E+00  2530.00E-09  5738.07E-09  
520000.E+00  2360.00E-09  3817.63E-09  
560000.E+00  2615.00E-09  2154.84E-08  
600000.E+00  2700.00E-09  3823.48E-09  
640000.E+00  2755.00E-09  1295.55E-08  
680000.E+00  2745.00E-09  7032.16E-09  
720000.E+00  2820.00E-09  6090.79E-09  
760000.E+00  2745.00E-09  5875.79E-09  
800000.E+00  2680.00E-09  4949.11E-09  
840000.E+00  2895.00E-09  6432.38E-09  
880000.E+00  2985.00E-09  1273.85E-08  
920000.E+00  2940.00E-09  6294.15E-09  
960000.E+00  2935.00E-09  4110.94E-09  
100000.E+01  3135.00E-09  7035.35E-09  
104000.E+01  3345.00E-09  8315.58E-09  
108000.E+01  3325.00E-09  7078.13E-09  
112000.E+01  3340.00E-09  4881.45E-09  
116000.E+01  3010.00E-09  1658.37E-08  
120000.E+01  3255.00E-09  2444.79E-08  
124000.E+01  3180.00E-09  7130.75E-09  
128000.E+01  3605.00E-09  6627.24E-09  
132000.E+01  3545.00E-09  7933.96E-09  
136000.E+01  3260.00E-09  4643.26E-09  
140000.E+01  3370.00E-09  7415.06E-09  
144000.E+01  3630.00E-09  4379.59E-09  
148000.E+01  3530.00E-09  5675.86E-09  
152000.E+01  3320.00E-09  8884.67E-09  
156000.E+01  3705.00E-09  1259.03E-08  
160000.E+01  3880.00E-09  5274.16E-09  
164000.E+01  4115.00E-09  7856.86E-09  
168000.E+01  4005.00E-09  7186.28E-09  
172000.E+01  4090.00E-09  1193.62E-08  
176000.E+01  4200.00E-09  5944.63E-09  
180000.E+01  4320.00E-09  2032.48E-08  
184000.E+01  4445.00E-09  7811.93E-09  
188000.E+01  4720.00E-09  2484.58E-08  
192000.E+01  4875.00E-09  8424.07E-09  
196000.E+01  4855.00E-09  1536.19E-08  
200000.E+01  5045.00E-09  1405.86E-08  
204000.E+01  5095.00E-09  9889.61E-09  
208000.E+01  5380.00E-09  8263.62E-09  
212000.E+01  5655.00E-09  1108.41E-08  
216000.E+01  5600.00E-09  2112.83E-08  
220000.E+01  6210.00E-09  1900.97E-08  
224000.E+01  6515.00E-09  1941.15E-08  
228000.E+01  6955.00E-09  1376.19E-08  
232000.E+01  7305.00E-09  2279.17E-08  
236000.E+01  7595.00E-09  3412.58E-08  
240000.E+01  8540.00E-09  3265.15E-08  
244000.E+01  9240.00E-09  2257.94E-08  
248000.E+01  9740.00E-09  2356.31E-08  
252000.E+01  1153.00E-08  2876.74E-08  
256000.E+01  1264.50E-08  3425.65E-08  
260000.E+01  1550.50E-08  2709.69E-08  
264000.E+01  2391.00E-08  5451.40E-08  
268000.E+01  4795.00E-08  7809.94E-08  
272000.E+01  7787.50E-08  1113.39E-07  
276000.E+01  6853.00E-08  8410.38E-08  
280000.E+01  2974.50E-08  3374.04E-08  
284000.E+01  6335.00E-09  6626.05E-09  
288000.E+01  5150.00E-10  3470.53E-10  
292000.E+01  2500.00E-11  9483.14E-12  
296000.E+01  0000.00E+00  0000.00E+00  
300000.E+01  0000.00E+00  0000.00E+00  
304000.E+01  0000.00E+00  0000.00E+00  
308000.E+01  0000.00E+00  0000.00E+00  
312000.E+01  0000.00E+00  0000.00E+00  
316000.E+01  0000.00E+00  0000.00E+00  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
